virus_name	Accession_ID	Date	Originating_lab	Submitting_lab	Location
hCoV-19/Belgium/ITM-C5186/2020	EPI_ISL_582131	2020-09-16	Institute of Tropical Medicine	Selhorst	Belgium
hCoV-19/England/QEUH-A22341/2020	EPI_ISL_587391	2020-10-01	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Italy/CAM-INTPas-8/2020	EPI_ISL_494762	2020-00-00	INT Fondazione Pascale	Rachiglio	Italy
hCoV-19/England/NOTT-1108B9/2020	EPI_ISL_441873	2020-04-29	COVID-19 Genomics UK (COG-UK) Consortium	Loose	United Kingdom
hCoV-19/England/MILK-6938B9/2020	EPI_ISL_551786	2020-06-30	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/QEUH-96DFFC/2020	EPI_ISL_530477	2020-08-18	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/ALDP-9BC723/2020	EPI_ISL_568022	2020-09-08	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Netherlands/OV-EMC-65/2020	EPI_ISL_523449	2020-05-29	Erasmus Medical Center	Oude Munnink	Netherlands
hCoV-19/Scotland/EDB6089/2020	EPI_ISL_478212	2020-05-12	COVID-19 Genomics UK (COG-UK) Consortium	Williams	United Kingdom
hCoV-19/England/ALDP-954F07/2020	EPI_ISL_553603	2020-06-12	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC2119/2020	EPI_ISL_487271	2020-06-17	MDU-PHL	Submitter	Australia
hCoV-19/Scotland/EDB3020/2020	EPI_ISL_489032	2020-04-03	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/CA-QDX-03/2020	EPI_ISL_444455	2020-03-13	Molecular Infectious Disease	Anderson	USA
hCoV-19/England/QEUH-9C80ED/2020	EPI_ISL_567267	2020-09-11	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/EXET-1361A3/2020	EPI_ISL_457207	2020-04-14	COVID-19 Genomics UK (COG-UK) Consortium	Temperton	United Kingdom
hCoV-19/USA/CA-CDC-4698/2020	EPI_ISL_535675	2020-06-04	Pathogen Discovery	Queen	USA
hCoV-19/Netherlands/Gelderland_110/2020	EPI_ISL_460871	2020-05-22	Erasmus Medical Center	Oude Munnink	Netherlands
hCoV-19/USA/TX-HMH-1733/2020	EPI_ISL_542800	2020-04-02	Houston Methodist Hospital	Long	USA
hCoV-19/England/MILK-9AB1FC/2020	EPI_ISL_551075	2020-08-31	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Wales/MILK-9F128B/2020	EPI_ISL_589577	2020-09-25	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC4629/2020	EPI_ISL_519022	2020-07-12	VIDRL and MDU-PHL	Schultz	Australia
hCoV-19/USA/TX-HMH-6819/2020	EPI_ISL_546264	2020-06-25	Houston Methodist Hospital	Long	USA
hCoV-19/England/ALDP-9EADC0/2020	EPI_ISL_589783	2020-09-24	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/NM-NMDOH-2020327064/2020	EPI_ISL_569644	2020-09-03	New Mexico Department of Health Scientific Laboratory	Johnson	USA
hCoV-19/USA/TX-HMH-4091/2020	EPI_ISL_543361	2020-06-17	Houston Methodist Hospital	Long	USA
hCoV-19/USA/WA-UW-2961/2020	EPI_ISL_486061	2020-03-26	UW Virology Lab	Roychoudhury	USA
hCoV-19/England/QEUH-9F4060/2020	EPI_ISL_588714	2020-09-24	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Norway/4026/2020	EPI_ISL_590973	2020-09-21	Norwegian Institute of Public Health	Vollan	Norway
hCoV-19/Australia/VIC8058/2020	EPI_ISL_564823	2020-08-17	MDU-PHL	Schultz	Australia
hCoV-19/USA/WA-S1292/2020	EPI_ISL_495742	2020-05-13	Seattle Flu Study	Lee	USA
hCoV-19/Canada/QC-LSPQ-L00216190/2020	EPI_ISL_535744	2020-03-12	Laboratoire de sant\u00e9 publique du Qu\u00e9bec	Moreira	Canada
hCoV-19/USA/NY-PV09039/2020	EPI_ISL_421604	2020-03-21	MSHS Pathogen Surveillance Program	van Bakel	USA
hCoV-19/Italy/PIE-SLL-NZ144/2020	EPI_ISL_569883	2020-04-08	Crosetto lab	Harbers	Italy
hCoV-19/USA/OR-OHSU-0953/2020	EPI_ISL_525935	2020-07-03	Oregon SARS-CoV-2 Genome Sequencing Center	O'Roak	USA
hCoV-19/Sweden/20-08111/2020	EPI_ISL_454482	2020-03-09	The Public Health Agency of Sweden	Svartstr\u00f6m	Sweden
hCoV-19/England/QEUH-96F279/2020	EPI_ISL_530555	2020-08-17	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/BRIS-12FBFA/2020	EPI_ISL_492572	2020-04-04	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC3154/2020	EPI_ISL_520860	2020-07-12	MDU-PHL	Schultz	Australia
hCoV-19/USA/WA-S853/2020	EPI_ISL_463343	2020-04-24	Seattle Flu Study	Bedford	USA
hCoV-19/Italy/TUS-UniSI-1/2020	EPI_ISL_454733	2020-03-01	Department of Medical	Submitter	Italy
hCoV-19/Sweden/20-08112/2020	EPI_ISL_454483	2020-03-09	The Public Health Agency of Sweden	Svartstr\u00f6m	Sweden
hCoV-19/England/OXON-B236E/2020	EPI_ISL_479138	2020-04-21	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/USA/TX-HMH-2195/2020	EPI_ISL_545173	2020-05-21	Houston Methodist Hospital	Long	USA
hCoV-19/England/ALDP-9CD015/2020	EPI_ISL_566214	2020-09-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/VA-DCLS-0476/2020	EPI_ISL_526784	2020-05-06	Virginia DCLS	St. Jacques	USA
hCoV-19/Turkey/KU-023/2020	EPI_ISL_495433	2020-06-06	Kafkas University	Karamese	Turkey
hCoV-19/Wales/MILK-9750C1/2020	EPI_ISL_552635	2020-08-20	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/India/DL-NCDC7757-CSIR-IGIB/2020	EPI_ISL_482669	2020-05-28	NCDC/CSIR-IGIB	Singh	India
hCoV-19/France/ARA-22670/2020	EPI_ISL_508921	2020-04-09	CNR Virus des Infections Respiratoires - France SUD	Josset	France
hCoV-19/Russia/Sverdlovsk-84302/2020	EPI_ISL_428923	2020-03-27	State Research Center of Virology and Biotechnology VECTOR	Shvalov	Russia
hCoV-19/England/ALDP-9CBC40/2020	EPI_ISL_575416	2020-09-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/QEUH-9FAC0C/2020	EPI_ISL_588200	2020-09-27	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/OXON-B07FB/2020	EPI_ISL_478911	2020-04-21	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/USA/MI-MDHHS-SC21446/2020	EPI_ISL_507700	2020-03-23	Michigan Department of Health and Human Services	Blankenship	USA
hCoV-19/England/ALDP-9B661D/2020	EPI_ISL_573020	2020-08-28	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/England/NORT-283A7E/2020	EPI_ISL_488522	2020-04-01	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/ALDP-9C4E05/2020	EPI_ISL_567780	2020-09-10	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Wales/MILK-9E0F4C/2020	EPI_ISL_580898	2020-09-20	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/India/MH-NIV-125643/2020	EPI_ISL_541693	2020-07-20	National Institute of Virology	Potdar	India
hCoV-19/USA/WA-S865/2020	EPI_ISL_463355	2020-04-22	Seattle Flu Study	Bedford	USA
hCoV-19/Australia/VIC12209/2020	EPI_ISL_563539	2020-07-26	MDU-PHL	Schultz	Australia
hCoV-19/England/QEUH-9D1913/2020	EPI_ISL_577297	2020-09-16	COVID-19 Genomics UK (COG-UK) Consortium	Temperton	United Kingdom
hCoV-19/USA/TX-HMH-5642/2020	EPI_ISL_544928	2020-06-03	Houston Methodist Hospital	Long	USA
hCoV-19/Scotland/EDB6693/2020	EPI_ISL_507188	2020-05-08	COVID-19 Genomics UK (COG-UK) Consortium	Williams	United Kingdom
hCoV-19/USA/TX-GCID-192000331/2020	EPI_ISL_501173	2020-04-16	Baylor College of Medicine	Skinner	USA
hCoV-19/Australia/VIC13655/2020	EPI_ISL_563798	2020-08-23	MDU-PHL	Schultz	Australia
hCoV-19/England/NORT-283A9C/2020	EPI_ISL_478517	2020-04-02	COVID-19 Genomics UK (COG-UK) Consortium	Bashton	United Kingdom
hCoV-19/Australia/VIC13691/2020	EPI_ISL_592300	2020-07-18	MDU-PHL	Schultz	Australia
hCoV-19/England/NORW-E8208/2020	EPI_ISL_449124	2020-04-08	COVID-19 Genomics UK (COG-UK) Consortium	Alikhan	United Kingdom
hCoV-19/England/ALDP-6C3786/2020	EPI_ISL_557860	2020-07-01	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/ALDP-66F379/2020	EPI_ISL_558232	2020-07-03	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/TX-HMH-1728/2020	EPI_ISL_542797	2020-04-20	Houston Methodist Hospital	Long	USA
hCoV-19/Norway/2534/2020	EPI_ISL_471176	2020-05-04	Norwegian Institute of Public Health	Hungnes	Norway
hCoV-19/Peru/LIM-INS-096/2020	EPI_ISL_536495	2020-07-03	Laboratorio de Infecciones Respiratorias Agudas	Lopez	Peru
hCoV-19/England/ALDP-9BE18D/2020	EPI_ISL_567951	2020-09-09	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Singapore/767/2020	EPI_ISL_509377	2020-06-04	Department of Microbiology	Abdul Rahman	Singapore
hCoV-19/USA/GA-UW-MAYO64/2020	EPI_ISL_500515	2020-03-22	University of Washington Virology Lab	Roychoudhury	USA
hCoV-19/France/PAC-IHU-1167/2020	EPI_ISL_569071	2020-08-14	MEPHI	Levasseur	France
hCoV-19/Canada/ON-S878/2020	EPI_ISL_591175	2020-04-12	McMaster University	McArthur	Canada
hCoV-19/USA/LA-EVTL573/2020	EPI_ISL_578977	2020-06-30	Microbial Genome Sequencing Center	Kamil	USA
hCoV-19/USA/WI-UW-75/2020	EPI_ISL_421333	2020-03-26	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Baczenas	USA
hCoV-19/Italy/LOM-IZSGC-TE38811/2020	EPI_ISL_528947	2020-05-10	Istitituto Zooprofilattico Sperimentale dell'Abruzzo e Molise \G.Caporale\	Lorusso	Italy
hCoV-19/USA/LA-EVTL528/2020	EPI_ISL_578932	2020-06-25	Microbial Genome Sequencing Center	Kamil	USA
hCoV-19/Australia/VIC2731/2020	EPI_ISL_521566	2020-07-05	MDU-PHL	Schultz	Australia
hCoV-19/Italy/VEN-IZSVe-46-8/2020	EPI_ISL_452190	2020-04-03	Istituto Zooprofilattico Sperimentale delle Venezie	Quaranta	Italy
hCoV-19/USA/TX-HMH-6513/2020	EPI_ISL_546049	2020-06-27	Houston Methodist Hospital	Long	USA
hCoV-19/USA/WA-S755/2020	EPI_ISL_449925	2020-04-14	Seattle Flu Study	Bedford	USA
hCoV-19/Belgium/ULG-10252/2020	EPI_ISL_515059	2020-07-14	GIGA Medical Genomics	Durkin	Belgium
hCoV-19/England/OXON-AE936/2020	EPI_ISL_448735	2020-00-00	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/USA/NY-PV08468/2020	EPI_ISL_421412	2020-03-18	MSHS Pathogen Surveillance Program	van Bakel	USA
hCoV-19/England/ALDP-9ED307/2020	EPI_ISL_589428	2020-05-04	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/MI-MDHHS-SC20194/2020	EPI_ISL_447165	2020-03-21	Michigan Department of Health and Human Services	Blankenship	USA
hCoV-19/England/ALDP-A2DEBE/2020	EPI_ISL_586735	2020-10-05	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Singapore/390/2020	EPI_ISL_469139	2020-06-06	National Public Health Laboratory	Mak	Singapore
hCoV-19/USA/CA-UCLA-87/2020	EPI_ISL_537604	2020-03-19	Kruglyak Lab	Boocock	USA
hCoV-19/Wales/PHWC-16D6C2/2020	EPI_ISL_577432	2020-09-24	COVID-19 Genomics UK (COG-UK) Consortium	Moore	United Kingdom
hCoV-19/England/CAMB-74553/2020	EPI_ISL_425305	2020-03-28	COVID-19 Genomics UK (COG-UK) Consortium	Meredith	United Kingdom
hCoV-19/England/ALDP-9CB23F/2020	EPI_ISL_581367	2020-09-16	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/NY-WCMP11F06P/2020	EPI_ISL_427596	2020-03-16	Mason Lab	Mason	USA
hCoV-19/Canada/MB-NML-872/2020	EPI_ISL_582349	2020-03-21	National Microbiology Laboratory (NML)	Majer	Canada
hCoV-19/USA/WA-S1040/2020	EPI_ISL_463530	2020-05-03	Seattle Flu Study	Bedford	USA
hCoV-19/USA/WA-S2294/2020	EPI_ISL_497722	2020-06-10	Seattle Flu Study	Lee	USA
hCoV-19/Italy/LOM-IZSGC-TE35578/2020	EPI_ISL_528946	2020-05-08	Istitituto Zooprofilattico Sperimentale dell'Abruzzo e Molise \G.Caporale\	Lorusso	Italy
hCoV-19/England/NORW-EBC8F/2020	EPI_ISL_457496	2020-05-05	COVID-19 Genomics UK (COG-UK) Consortium	Alikhan	United Kingdom
hCoV-19/England/LIVE-A4B2B/2020	EPI_ISL_500073	2020-03-12	COVID-19 Genomics UK (COG-UK) Consortium	Haldenby	United Kingdom
hCoV-19/USA/TX-HMH-675/2020	EPI_ISL_546214	2020-04-12	Houston Methodist Hospital	Long	USA
hCoV-19/Netherlands/Drenthe_2/2020	EPI_ISL_460636	2020-04-04	Erasmus Medical Center	Oude Munnink	Netherlands
hCoV-19/England/ALDP-94E97B/2020	EPI_ISL_554935	2020-06-20	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Portugal/PT0036/2020	EPI_ISL_418021	2020-03-16	Instituto Nacional de Saude (INSA)	Borges	Portugal
hCoV-19/Taiwan/TSGH-37/2020	EPI_ISL_457733	2020-02-08	TSGH-CP molecular lab	Shang	Taiwan
hCoV-19/Australia/NSW492/2020	EPI_ISL_455032	2020-04-23	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Gall	Australia
hCoV-19/Japan/PG-0441/2020	EPI_ISL_480106	2020-03-19	Pathogen Genomics Center	Sekizuka	Japan
hCoV-19/England/20172003004/2020	EPI_ISL_465324	2020-04-19	Respiratory Virus Unit	Platt	United Kingdom
hCoV-19/Wales/PHWC-166359/2020	EPI_ISL_493985	2020-06-27	COVID-19 Genomics UK (COG-UK) Consortium	Moore	United Kingdom
hCoV-19/England/20154029904/2020	EPI_ISL_466258	2020-04-07	Respiratory Virus Unit	Platt	United Kingdom
hCoV-19/USA/WA-S838/2020	EPI_ISL_463328	2020-04-22	Seattle Flu Study	Bedford	USA
hCoV-19/England/CAMC-945F54/2020	EPI_ISL_556708	2020-07-13	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/QEUH-9D19B9/2020	EPI_ISL_573672	2020-09-16	COVID-19 Genomics UK (COG-UK) Consortium	Roy	United Kingdom
hCoV-19/England/ALDP-95C901/2020	EPI_ISL_554940	2020-06-20	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/VIC4948/2020	EPI_ISL_519321	2020-07-15	VIDRL and MDU-PHL	Schultz	Australia
hCoV-19/Belgium/JRH-030459/2020	EPI_ISL_418988	2020-03-04	Institute information  KU Leuven	Maes	Belgium
hCoV-19/Japan/PG-0132/2020	EPI_ISL_479858	2020-03-12	Pathogen Genomics Center	Sekizuka	Japan
hCoV-19/Spain/AN-IBV-003019/2020	EPI_ISL_474949	2020-04-03	SeqCOVID-SPAIN consortium/IBV(CSIC)	Comas	Spain
hCoV-19/Canada/ON-PHL-20-00059/2020	EPI_ISL_548735	2020-00-00	Public Health Ontario Laboratory	Guthrie	Canada
hCoV-19/England/QEUH-9C84E1/2020	EPI_ISL_567020	2020-09-11	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Netherlands/DR-EMC-13/2020	EPI_ISL_574781	2020-08-14	Erasmus Medical Center	Oude Munnink	Netherlands
hCoV-19/USA/FL-BPHL-0671/2020	EPI_ISL_509729	2020-03-24	Florida Bureau of Public Health Laboratories	Blanton	USA
hCoV-19/USA/LA-EVTL485/2020	EPI_ISL_578889	2020-07-30	Microbial Genome Sequencing Center	Kamil	USA
hCoV-19/England/QEUH-9E476E/2020	EPI_ISL_579898	2020-09-23	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/TX-HMH-6805/2020	EPI_ISL_546255	2020-06-24	Houston Methodist Hospital	Long	USA
hCoV-19/USA/TX-HMH-1865/2020	EPI_ISL_542885	2020-05-07	Houston Methodist Hospital	Long	USA
hCoV-19/England/SHEF-C822C/2020	EPI_ISL_453728	2020-04-22	COVID-19 Genomics UK (COG-UK) Consortium	de Silva	United Kingdom
hCoV-19/Bangladesh/BCSIR-NILMRC-073/2020	EPI_ISL_466689	2020-06-01	Genomic Research Lab	Khan	Bangladesh
hCoV-19/England/LIVE-A736C/2020	EPI_ISL_517008	2020-03-28	COVID-19 Genomics UK (COG-UK) Consortium	Haldenby	United Kingdom
hCoV-19/Australia/VIC718/2020	EPI_ISL_427002	2020-03-27	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory	Schultz	Australia
hCoV-19/Australia/NSW961/2020	EPI_ISL_545033	2020-09-10	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Gall	Australia
hCoV-19/USA/WA-UW-6496/2020	EPI_ISL_570123	2020-04-03	UW Virology Lab	Roychoudhury	USA
hCoV-19/France/PAC-IHU-0586/2020	EPI_ISL_569604	2020-04-10	MEPHI	Levasseur	France
hCoV-19/USA/VA-DCLS-1364/2020	EPI_ISL_572223	2020-07-07	Virginia DCLS	St. Jacques	USA
hCoV-19/England/LOND-D5550/2020	EPI_ISL_444233	2020-04-16	COVID-19 Genomics UK (COG-UK) Consortium	Roy	United Kingdom
hCoV-19/Canada/QC-LSPQ-L00242714/2020	EPI_ISL_536335	2020-03-29	Laboratoire de sant\u00e9 publique du Qu\u00e9bec	Moreira	Canada
hCoV-19/USA/WI-WSLH-200372/2020	EPI_ISL_578541	2020-04-22	Wisconsin State Laboratory of Hygiene Communicable Disease Division	Florek	USA
hCoV-19/England/QEUH-9435EB/2020	EPI_ISL_532619	2020-07-30	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Switzerland/ZH-ETHZ-220047/2020	EPI_ISL_512025	2020-07-30	Department of Biosystems Science and Engineering	Nadeau	Switzerland
hCoV-19/USA/UT-UPHL-2009235/2020	EPI_ISL_525228	2020-05-15	Utah Public Health Laboratory	Young	USA
hCoV-19/USA/VA-DCLS-1224/2020	EPI_ISL_528648	2020-07-27	Virginia DCLS	St. Jacques	USA
hCoV-19/Scotland/CVR2664/2020	EPI_ISL_478012	2020-04-17	COVID-19 Genomics UK (COG-UK) Consortium	Robertson	United Kingdom
hCoV-19/England/ALDP-9EA2A3/2020	EPI_ISL_580129	2020-09-24	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Australia/NSW812/2020	EPI_ISL_526154	2020-08-08	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Gall	Australia
hCoV-19/Belgium/NL-030447/2020	EPI_ISL_420314	2020-03-04	KU Leuven	Maes	Belgium
hCoV-19/England/ALDP-94F4E2/2020	EPI_ISL_555894	2020-06-18	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Belgium/Rega-0328194/2020	EPI_ISL_458164	2020-03-28	KU Leuven	Maes	Belgium
hCoV-19/England/OXON-AE49F/2020	EPI_ISL_448694	2020-00-00	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/England/QEUH-9E3F2B/2020	EPI_ISL_579803	2020-09-24	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Ireland/D-NVRL-71IRL95850/2020	EPI_ISL_525367	2020-07-31	National Virus Reference Laboratory	Gonzalez	Ireland
hCoV-19/USA/MN-MDH-1232/2020	EPI_ISL_482953	2020-05-18	Minnesota Department of Health	Garfin	USA
hCoV-19/France/PAC-IHU-0923/2020	EPI_ISL_568992	2020-04-03	MEPHI	Levasseur	France
hCoV-19/Australia/VIC7659/2020	EPI_ISL_564559	2020-08-08	VIDRL and MDU-PHL	Schultz	Australia
hCoV-19/USA/CA-ALSR-1282/2020	EPI_ISL_494478	2020-05-01	Andersen lab at Scripps Research	Gangavarapu	USA
hCoV-19/mink/Netherlands/NB-EMC-29-1/2020	EPI_ISL_577755	2020-08-12	Erasmus Medical Center	Oude Munnink	Netherlands
hCoV-19/England/LCST-24D6FC0/2020	EPI_ISL_478348	2020-06-16	COVID-19 Genomics UK (COG-UK) Consortium	Loose	United Kingdom
hCoV-19/England/QEUH-964247/2020	EPI_ISL_536891	2020-08-11	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Belgium/ULG-10303/2020	EPI_ISL_540470	2020-07-23	GIGA Medical Genomics	Durkin	Belgium
hCoV-19/USA/WI-UW-1393/2020	EPI_ISL_536764	2020-09-04	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Baczenas	USA
hCoV-19/Australia/VIC668/2020	EPI_ISL_426964	2020-03-27	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory	Schultz	Australia
hCoV-19/Japan/NGY-NNH-013/2020	EPI_ISL_568568	2020-07-22	Clinical Research Center	Iwatani	Japan
hCoV-19/Scotland/CVR2787/2020	EPI_ISL_473566	2020-04-20	COVID-19 Genomics UK (COG-UK) Consortium	Robertson	United Kingdom
hCoV-19/USA/UT-UPHL-2008769/2020	EPI_ISL_524802	2020-06-01	Utah Public Health Laboratory	Young	USA
hCoV-19/Canada/QC-LSPQ-L00218534/2020	EPI_ISL_535784	2020-03-14	Laboratoire de sant\u00e9 publique du Qu\u00e9bec	Moreira	Canada
hCoV-19/England/MILK-9A8A12/2020	EPI_ISL_549439	2020-09-01	COVID-19 Genomics UK (COG-UK) Consortium	Golubchik	United Kingdom
hCoV-19/England/201360181/2020	EPI_ISL_423232	2020-03-26	Respiratory Virus Unit	Platt	United Kingdom
hCoV-19/India/OR-RMRC27/2020	EPI_ISL_455776	2020-04-04	Immunogenomics lab	Raghav	India
hCoV-19/Brazil/SP-165/2020	EPI_ISL_523963	2020-03-24	Instituto Adolfo Lutz	Sacchi	Brazil
hCoV-19/Scotland/EDB156/2020	EPI_ISL_425921	2020-03-23	COVID-19 Genomics UK (COG-UK) Consortium	Williams	United Kingdom
hCoV-19/England/LOND-D5945/2020	EPI_ISL_457281	2020-04-16	COVID-19 Genomics UK (COG-UK) Consortium	Roy	United Kingdom
hCoV-19/Latvia/test1/2020	EPI_ISL_498226	2020-06-16	LIC	Savicka	Latvia
hCoV-19/Spain/CT-ISCIII-2012572/2020	EPI_ISL_539539	2020-05-21	Instituto de Salud Carlos III	Caballero	Spain
hCoV-19/Canada/ON-PHL-20-00170/2020	EPI_ISL_548763	2020-03-00	Public Health Ontario Laboratory	Guthrie	Canada
hCoV-19/Russia/Kabardino-Balkaria-80501/2020	EPI_ISL_428893	2020-03-23	State Research Center of Virology and Biotechnology VECTOR	Shvalov	Russia
hCoV-19/England/SHEF-CBFB9/2020	EPI_ISL_493704	2020-05-12	COVID-19 Genomics UK (COG-UK) Consortium	de Silva	United Kingdom
hCoV-19/England/QEUH-9F9380/2020	EPI_ISL_588802	2020-09-26	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/MN-CDC-6186/2020	EPI_ISL_527667	2020-04-21	Pathogen Discovery	Queen	USA
hCoV-19/Switzerland/VD-ETHZ-100332/2020	EPI_ISL_575010	2020-03-18	Department of Biosystems Science and Engineering	Nadeau	Switzerland
hCoV-19/England/NORW-EA057/2020	EPI_ISL_448387	2020-05-03	COVID-19 Genomics UK (COG-UK) Consortium	Alikhan	United Kingdom
hCoV-19/Norway/4010/2020	EPI_ISL_590963	2020-09-21	Norwegian Institute of Public Health	Vollan	Norway
hCoV-19/England/ALDP-9ED01F/2020	EPI_ISL_589286	2020-05-05	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/England/SHEF-C0A1D/2020	EPI_ISL_475344	2020-05-27	COVID-19 Genomics UK (COG-UK) Consortium	de Silva	United Kingdom
hCoV-19/Wales/PHWC-16C818/2020	EPI_ISL_574099	2020-09-13	COVID-19 Genomics UK (COG-UK) Consortium	Moore	United Kingdom
hCoV-19/Portugal/PT1180/2020	EPI_ISL_511725	2020-03-24	Instituto Nacional de Saude (INSA)	Borges	Portugal
hCoV-19/Germany/NW-HHU-06/2020	EPI_ISL_414505	2020-02-27	Center of Medical Microbiology	Wienemann	Germany
hCoV-19/Scotland/QEUH-99916A/2020	EPI_ISL_541809	2020-08-24	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/USA/WA-UW-11602/2020	EPI_ISL_570445	2020-06-17	UW Virology Lab	Roychoudhury	USA
hCoV-19/USA/LA-QDX-410/2020	EPI_ISL_571187	2020-03-17	Quest Diagnostics	Kagan	USA
hCoV-19/England/QEUH-96D17E/2020	EPI_ISL_530692	2020-08-19	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Davies	United Kingdom
hCoV-19/Scotland/EDB4706/2020	EPI_ISL_449323	2020-05-10	COVID-19 Genomics UK (COG-UK) Consortium	Williams	United Kingdom
